date,SPY,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2025-05-08,558.6558227539062,41.35972595214844,96.48359680175781,39.53572082519531,49.10177230834961,134.19151306152344,108.31598663330078,79.19005584716797,39.97031021118164,38.941864013671875,131.78961181640625,99.93016052246094
2025-05-09,557.9440307617188,41.46760940551758,95.98971557617188,39.93296813964844,49.10177230834961,134.30003356933594,108.1817626953125,78.73271942138672,40.211910247802734,39.009925842285156,130.35519409179688,100.41136169433594
2025-05-12,576.3826293945312,42.428775787353516,97.98497009277344,40.97453308105469,50.096412658691406,138.43431091308594,113.20306396484375,78.84947967529297,40.25056838989258,38.77656936645508,133.57772827148438,105.40191650390625
2025-05-13,580.18896484375,42.2179069519043,98.9430923461914,41.55101776123047,50.30322265625,139.4012908935547,115.64908599853516,77.78881072998047,39.709381103515625,38.723087310791016,129.5594024658203,106.7958984375
2025-05-14,580.9304809570312,41.830501556396484,99.45672607421875,41.29910659790039,50.16534423828125,138.7303466796875,116.39979553222656,77.3703842163086,39.37114334106445,38.55293273925781,126.51371765136719,107.20764923095703
2025-05-15,583.7679443359375,42.25714111328125,99.85181427001953,41.473514556884766,50.500179290771484,140.26959228515625,116.55888366699219,78.95652770996094,40.095943450927734,39.37455368041992,128.1741180419922,106.96952819824219
2025-05-16,587.465576171875,42.688690185546875,100.53337097167969,41.4105339050293,50.80546569824219,141.8680419921875,116.77764129638672,79.86149597167969,40.59846878051758,39.953086853027344,130.7580108642578,107.98152923583984
2025-05-19,588.108154296875,42.796573638916016,100.63214111328125,40.872802734375,50.83501052856445,142.35153198242188,116.60860443115234,80.09503173828125,40.68544387817383,40.12324523925781,132.0155792236328,107.72853088378906
2025-05-20,586.130859375,42.7230224609375,100.38520050048828,40.49492263793945,50.559268951416016,141.83843994140625,116.17109680175781,80.37722778320312,40.472835540771484,40.23992156982422,132.33981323242188,107.16796112060547
2025-05-21,576.254150390625,42.15415954589844,99.634521484375,39.74888229370117,49.52523422241211,139.44076538085938,113.98857879638672,79.44306182861328,39.4001350402832,39.505821228027344,129.27447509765625,104.99513244628906
2025-05-22,576.4814453125,42.11002731323242,99.4172134399414,39.59385681152344,49.46614456176758,139.41114807128906,114.0184097290039,79.11222076416016,39.264835357666016,38.941864013671875,128.2625274658203,105.44656372070312
2025-05-23,572.5465698242188,42.02665710449219,98.96284484863281,39.719810485839844,49.288883209228516,138.957275390625,112.76058197021484,79.40413665771484,39.27450180053711,39.40858459472656,128.0561981201172,104.4990463256836
2025-05-27,584.4501953125,42.76224899291992,100.57288360595703,40.06377029418945,50.15550231933594,141.404296875,115.44027709960938,80.12422180175781,39.921993255615234,39.705142974853516,129.8443145751953,107.58466339111328
2025-05-28,581.06884765625,42.178680419921875,100.55313110351562,39.55510330200195,49.820674896240234,140.7037353515625,114.9630126953125,79.57929992675781,39.921993255615234,39.150917053222656,129.1762237548828,106.59747314453125
